id_question	question	domain_type	comparison	assessment	detail	scope	entities
44	which has the best location?	domain	comparative	subjective	aspect	indefinite	[]
45	Which has the best facilities?	domain	comparative	subjective	aspect	indefinite	[]
46	Which has a penthouse room?	domain	comparative	factoid	aspect	indefinite	[]
47	Which is the cheapest hotel?	domain	comparative	subjective	aspect	indefinite	[]
48	Which hotel has most rooms?	domain	comparative	factoid	aspect	indefinite	[]
49	Which hotel allows children?	domain	comparative	factoid	aspect	indefinite	[]
50	Which hotel allows pets?	domain	comparative	factoid	aspect	indefinite	[]
51	Which hotel provides daily newspapers?	domain	comparative	factoid	aspect	indefinite	[]
52	Which hotel has the best view?	domain	comparative	subjective	aspect	indefinite	[]
53	Which hotel serves breakfast?	domain	comparative	factoid	aspect	indefinite	[]
54	Which has a taxi service?	domain	comparative	factoid	aspect	indefinite	[]
55	Which hotel has a maid service?	domain	comparative	factoid	aspect	indefinite	[]
56	Which hotel has a restaurant?	domain	comparative	factoid	aspect	indefinite	[]
57	Why is hotel levi described as very good price but not penelope when they are the same price	domain	comparative	why-recommended	aspect	tuple	['Hotel Levi', 'Hotel Penelope']
58	Does Hotel Levi have public transport links nearby?	domain	non-comparative	factoid	aspect	single	['Hotel Levi']
59	is there an airport near any of these hotels?	domain	comparative	subjective	aspect	indefinite	[]
60	are any of the hotels close to the beach?	domain	comparative	subjective	aspect	indefinite	[]
61	Why is the location good	domain	non-comparative	subjective	aspect	indefinite	[]
62	Which is best value for money	domain	comparative	subjective	overall	indefinite	[]
63	Which hotel is the cleanest	domain	comparative	subjective	aspect	indefinite	[]
64	What are the opening times for the Spa in Hotel Hannah	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
65	What time is the swimming pool opening times at Hotel Aria	domain	non-comparative	factoid	aspect	single	['Hotel Aria']
66	Why was hotel Emily chosen	domain	non-comparative	why-recommended	overall	single	['Hotel Emily']
67	Why is Hotel Hannah rated the best	domain	comparative	why-recommended	overall	single	['Hotel Hannah']
68	Why is Hotel Henry the cheapest	domain	comparative	why-recommended	aspect	single	['Hotel Henry']
69	What is the East Tower	domain	non-comparative	factoid	aspect	indefinite	[]
70	How strong is the WiFi connection at each hotel	domain	comparative	subjective	aspect	indefinite	[]
71	why was hotel emily suggested	domain	comparative	why-recommended	overall	single	['Hotel Emily']
72	What amenities are nearby	domain	non-comparative	subjective	aspect	indefinite	[]
73	What is the largest room you have	domain	non-comparative	factoid	aspect	indefinite	[]
74	What is so good about Hotel Hanah's location	domain	non-comparative	subjective	aspect	single	['Hotel Hanah']
75	How old are the hotels	domain	non-comparative	factoid	aspect	indefinite	[]
76	What is the highest rating for Hotel Levi	domain	non-comparative	factoid	overall	single	['Hotel Levi']
77	what makes hotel hannah a great room	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
78	please explain the great room at hotel hannah	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
79	What attractions are near by	domain	non-comparative	subjective	aspect	indefinite	[]
80	how does the price of hotel levi compare with hotel emily	domain	comparative	subjective	aspect	tuple	['Hotel Levi', 'Hotel Emily']
81	is check in fast	domain	non-comparative	subjective	aspect	indefinite	[]
82	what makes hotel hannah a good price	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
83	Is there info about kinds of food	domain	non-comparative	subjective	aspect	indefinite	[]
84	Which hotel best matches my criteria	domain	comparative	subjective	overall	indefinite	[]
85	Does it serve food	domain	non-comparative	factoid	aspect	indefinite	[]
86	Does the hotel have a bar	domain	non-comparative	factoid	aspect	indefinite	[]
87	Why is hotel Levi recommended when it is in Barcelona and the others are in Hong Kong	domain	comparative	why-recommended	overall	indefinite	[]
88	Which is in Hong Kong	domain	non-comparative	factoid	aspect	indefinite	[]
89	Which is the Oldest hotel	domain	comparative	factoid	aspect	indefinite	[]
90	What did people like the most about Hotel Emily	domain	non-comparative	subjective	overall	single	['Hotel Emily']
91	What facilities do they have at Hotel Henry	domain	non-comparative	factoid	aspect	single	['Hotel Henry']
92	Is Hotel Emily good value for money	domain	non-comparative	subjective	overall	single	['Hotel Emily']
93	how far to the nearest transport links	domain	non-comparative	factoid	aspect	indefinite	[]
94	is there a train station near hotel emily	domain	non-comparative	subjective	aspect	single	['Hotel Emily']
95	when can i check in to hotel hannah	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
96	what facilities does hotel emily have?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
97	how far from the main square is hotel hannah	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
98	how bid are the rooms in hotel penelope	domain	non-comparative	subjective	aspect	single	['Hotel Penelope']
99	how big are the rooms in hotel penelope	domain	non-comparative	subjective	aspect	single	['Hotel Penelope']
100	why is hotel hannah location great?	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
101	why is hotel hannah location great?	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
102	how do the staff rate in Hotel Levi?	domain	non-comparative	subjective	aspect	single	['Hotel Levi']
103	What facilities does Hotel Emily have to offer?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
104	What makes the rooms in Hotel Penelope good?	domain	non-comparative	subjective	aspect	single	['Hotel Penelope']
105	What makes the Hotel Hannah's great location?	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
106	What is the Hotel Henry close to?	domain	non-comparative	subjective	aspect	single	['Hotel Henry']
107	Where is the Hotel Levi located?	domain	non-comparative	factoid	aspect	single	['Hotel Levi']
108	What facilities does Hotel Penelope have to offer?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
109	Do any hotels offer rental car cupons?	domain	non-comparative	factoid	aspect	indefinite	[]
110	Which hotel is the closest to transport faciltiies?	domain	comparative	factoid	aspect	indefinite	[]
111	What hotels have wifi?	domain	comparative	factoid	aspect	indefinite	[]
112	Which hotels are closest to shopping locations?	domain	comparative	subjective	aspect	indefinite	[]
113	What is the cheapest hotel?	domain	comparative	subjective	aspect	indefinite	[]
114	What is the cheapest hotel?	domain	comparative	subjective	aspect	indefinite	[]
115	what is your cheapest	domain	comparative	subjective	aspect	indefinite	[]
116	I would like a big bed	domain	non-comparative	subjective	aspect	indefinite	[]
117	where is hotel amelia	domain	non-comparative	factoid	aspect	single	['Hotel Amelia']
118	how much is hotel Penelope a night	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
119	Which hotels do food	domain	non-comparative	factoid	aspect	indefinite	[]
120	What gives me great location and comfort	domain	comparative	subjective	aspect	indefinite	[]
121	What gives me great location and comfort	domain	comparative	subjective	aspect	indefinite	[]
122	Do you provide great food	domain	non-comparative	subjective	aspect	indefinite	[]
123	Do you provide a early check in time	domain	non-comparative	factoid	aspect	indefinite	[]
124	Why is it in a good location?	domain	non-comparative	subjective	aspect	indefinite	[]
125	What are the facilities at hotel emily?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
126	is there public transport nearby?	domain	non-comparative	subjective	aspect	indefinite	[]
127	Do you offer any room service or upgrade	domain	non-comparative	factoid	aspect	indefinite	[]
128	Why is hotel penelope a good location?	domain	non-comparative	subjective	aspect	single	['Hotel Penelope']
129	do you offer airport transfer?	domain	non-comparative	factoid	aspect	indefinite	[]
130	Do you have family room facility	domain	non-comparative	factoid	aspect	indefinite	[]
131	Why i hotel levi a good location?	domain	non-comparative	subjective	aspect	indefinite	[]
132	do you have parking?	domain	non-comparative	factoid	aspect	indefinite	[]
133	why is hotel hannah a great room?	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
134	does the room have a private bathroom?	domain	non-comparative	factoid	aspect	indefinite	[]
135	why is hotel emily great facilities?	domain	non-comparative	subjective	aspect	single	['Hotel Emily']
136	why is hotel emily great facilities?	domain	non-comparative	subjective	aspect	single	['Hotel Emily']
137	is the room en-suite?	domain	non-comparative	factoid	aspect	indefinite	[]
138	Which hotel has the most reviews?	domain	comparative	factoid	overall	indefinite	[]
139	are nthere good transport links?	domain	non-comparative	subjective	aspect	indefinite	[]
140	Are there any discounts?	domain	non-comparative	factoid	aspect	indefinite	[]
141	is there a train station nearby?	domain	non-comparative	factoid	aspect	indefinite	[]
142	does the room have good wi-fi?	domain	non-comparative	subjective	aspect	indefinite	[]
143	What is the difference between hotel amelia and hotel hannah?	domain	comparative	subjective	overall	tuple	['Hotel Amelia', 'Hotel Hannah']
144	can i pay by credit card?	domain	non-comparative	factoid	aspect	indefinite	[]
145	Which hotel has the most reviews?	domain	comparative	factoid	overall	indefinite	[]
146	is breakfast included?	domain	non-comparative	factoid	aspect	indefinite	[]
147	What is the difference between hotel amelia and hotel hannah?	domain	comparative	subjective	overall	tuple	['Hotel Amelia', 'Hotel Hannah']
148	do you have room service?	domain	non-comparative	factoid	aspect	indefinite	[]
149	What is the best rate I can get?	domain	non-comparative	why-recommended	aspect	indefinite	[]
150	is there a bus stop near to the hotel?	domain	non-comparative	subjective	aspect	indefinite	[]
151	What facilities does the Hotel Emily have?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
152	What is good about the room at the Hotel Penelope?	domain	non-comparative	subjective	aspect	single	['Hotel Penelope']
153	What is good about the location at Hotel Hannah?	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
154	Why is the price at the Hotel Amelia good?	domain	non-comparative	subjective	aspect	single	['Hotel Amelia']
155	What is good about the room at the Hotel Levi?	domain	non-comparative	subjective	aspect	single	['Hotel Levi']
156	Do all rooms have their own bathroom?	domain	non-comparative	factoid	aspect	indefinite	[]
157	is there a tram nearby?	domain	non-comparative	subjective	aspect	indefinite	[]
158	which is closest to the city centre?	domain	comparative	subjective	aspect	indefinite	[]
159	can i have a late check out?	domain	non-comparative	factoid	aspect	indefinite	[]
160	How many people share a bathroom for Hotel Penelope and Hotel Amelia?	domain	comparative	factoid	aspect	tuple	['Hotel Penelope', 'Hotel Amelia']
161	What are the facilities at Hotel p	domain	non-comparative	factoid	aspect	indefinite	[]
162	What is good about the location at Hotel Amelia?	domain	non-comparative	subjective	aspect	single	['Hotel Amelia']
163	do you hjave quiet rooms?	domain	non-comparative	subjective	aspect	indefinite	[]
164	which hotel had the best facilities?	domain	comparative	subjective	aspect	indefinite	[]
165	What are the facilities at Hotel Penelope?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
166	What size beds are in the rooms?	domain	non-comparative	factoid	aspect	indefinite	[]
167	Which hotel has the best location?	domain	comparative	subjective	aspect	indefinite	[]
168	How much do drinks and meals cost at this hotel ?	domain	non-comparative	factoid	aspect	indefinite	[]
169	What type of food is served at Hotel Hannah?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
170	Why does hotel henry have good facilities?	domain	non-comparative	subjective	aspect	single	['Hotel Henry']
171	Why is Hotel Emily a very good price despite being the most expensive?	domain	non-comparative	why-recommended	aspect	single	['Hotel Emily']
172	Does Hotel Amelia have shared bathrooms?	domain	non-comparative	factoid	aspect	single	['Hotel Amelia']
173	Why does hotel penelope have a good room?	domain	non-comparative	subjective	aspect	single	['Hotel Penelope']
174	Is there a minimum number of nights to stay at Hotel Hannah?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
175	Why is hotel levi a good price?	domain	non-comparative	why-recommended	aspect	single	['Hotel Levi']
176	Does Hotel Hannah have double bed?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
177	Which hotel has en-suite bathrooms?	domain	non-comparative	factoid	aspect	indefinite	[]
178	Why is Hotel Penelope a good location?	domain	non-comparative	subjective	aspect	single	['Hotel Penelope']
179	Why is hotel hannah a good price?	domain	non-comparative	why-recommended	aspect	single	['Hotel Hannah']
180	is the east tower available at the Hotel Penelope	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
181	why was this hotel recomended	domain	non-comparative	why-recommended	overall	indefinite	[]
182	is hotel hannah wheelchair accessible	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
183	What size is a standard room?	domain	non-comparative	factoid	aspect	indefinite	[]
184	Does Hotel Penelope have a swimming pool?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
185	why is hotel levi a very good room?	domain	non-comparative	subjective	aspect	single	['Hotel Levi']
186	Why is Hotel Hannah 5 stars?	domain	non-comparative	why-recommended	overall	single	['Hotel Hannah']
187	which hotel best fits my needs?	domain	comparative	subjective	overall	indefinite	[]
188	How many restaurants at Hotel Amelia?	domain	non-comparative	factoid	aspect	single	['Hotel Amelia']
189	has the construction at Hotel Emily finished?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
190	which hotel has the best reviews	domain	comparative	subjective	overall	indefinite	[]
191	which hotel can i use priority club points?	domain	non-comparative	factoid	aspect	indefinite	[]
192	Is Western style food on offer at these hotels ?	domain	non-comparative	factoid	aspect	indefinite	[]
193	Which hotel has the best view?	domain	comparative	subjective	aspect	indefinite	[]
194	which hotel has the worst reviews?	domain	comparative	subjective	aspect	indefinite	[]
195	Is this hotel noisy?	domain	non-comparative	subjective	aspect	indefinite	[]
196	Which hotel offers the best breakfast?	domain	comparative	subjective	aspect	indefinite	[]
197	Which hotel offers the best breakfast?	domain	comparative	subjective	aspect	indefinite	[]
198	Do you hear the noise of traffic in this hotel ?	domain	non-comparative	subjective	aspect	indefinite	[]
199	Is Hotel Emily still in construction?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
200	Which hotel has a pool?	domain	non-comparative	factoid	aspect	indefinite	[]
201	When will Hotel Emily's construction be completed?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
202	Which hotel is closest to the main shopping area?	domain	comparative	subjective	aspect	indefinite	[]
203	does the hotel hannah have a sea view?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
204	does the hotel hannah have a sea view?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
205	Are all these hotels include breakfast?	domain	non-comparative	factoid	aspect	indefinite	[]
206	can hotel levi provide food for someone with a nut allergy?	domain	non-comparative	factoid	aspect	single	['Hotel Levi']
207	Which hotel is closest to the airport?	domain	comparative	factoid	aspect	indefinite	[]
208	Does the price include breakfast?	domain	non-comparative	factoid	aspect	indefinite	[]
209	what location is hotel penelope?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
210	do you have cot facilities for an infant?	domain	non-comparative	factoid	aspect	indefinite	[]
211	Which is cheapest?	domain	comparative	subjective	aspect	indefinite	[]
212	which hotel is closest to the city center?	domain	comparative	subjective	aspect	indefinite	[]
213	is there onsite parking?	domain	non-comparative	factoid	aspect	indefinite	[]
214	Which is the highest rated?	domain	comparative	factoid	overall	indefinite	[]
215	why have i been recommended a hotel with a higher price point but half a star lower than other options?	domain	comparative	why-recommended	aspect	indefinite	[]
216	is hotel penelope wheelchair friendly?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
217	Closest to harbour?	domain	comparative	subjective	aspect	indefinite	[]
218	which hotel has the best restaurant?	domain	comparative	subjective	aspect	indefinite	[]
219	when will hotel levi's remodeling complete?	domain	non-comparative	factoid	aspect	single	['Hotel Levi']
220	Which has a swimming pool?	domain	non-comparative	factoid	aspect	indefinite	[]
221	Is hotel Levi still under construction?	domain	non-comparative	factoid	aspect	single	['Hotel Levi']
222	Closest to harbour?	domain	comparative	subjective	aspect	indefinite	[]
223	When will hotel levi's construction end?	domain	non-comparative	factoid	aspect	single	['Hotel Levi']
224	do any of the hotels have a gym?	domain	non-comparative	factoid	aspect	indefinite	[]
225	do any of the hotels offer in room dining	domain	non-comparative	factoid	aspect	indefinite	[]
226	How much Hotel Hannah charge for the airport shuttle service	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
227	which hotel has the most negative reviews	domain	comparative	subjective	overall	indefinite	[]
228	Any of these hotels offer airport pick up service?	domain	non-comparative	factoid	aspect	indefinite	[]
229	is there a pool to use throughout the day	domain	non-comparative	factoid	aspect	indefinite	[]
230	How much the hotels charge for the pick up service?	domain	non-comparative	factoid	aspect	indefinite	[]
231	is there a pool to use throughout the day	domain	non-comparative	factoid	aspect	indefinite	[]
232	do you have a pool	domain	non-comparative	factoid	aspect	indefinite	[]
233	why have i been recommended all busy hotels when i required comfort	domain	non-comparative	why-recommended	overall	indefinite	[]
234	What is the location like	domain	non-comparative	subjective	aspect	indefinite	[]
235	How big are the rooms	domain	non-comparative	factoid	aspect	indefinite	[]
236	Why are you offering rooms with separate beds?	domain	non-comparative	factoid	aspect	indefinite	[]
237	Where is there Hotel Emily?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
238	Where is there Hotel Emily?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
239	Is there any availability at Hotel Hannah?	domain	non-comparative	factoid	overall	single	['Hotel Hannah']
240	Does Hotel Amelia have a bar?	domain	non-comparative	factoid	aspect	single	['Hotel Amelia']
241	Hotel Emily rooms review say they are small?	domain	non-comparative	subjective	aspect	single	['Hotel Emily']
242	Does Hotel Hannah have a family room?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
243	Does Hotel Hannah have a family room?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
244	What are Hotel Hannah's bathrooms like?  Are all rooms the same?	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
245	Which hotel is closest to restaurants?	domain	comparative	subjective	aspect	indefinite	[]
246	Which hotel has the best reviews?	domain	comparative	subjective	overall	indefinite	[]
247	Which hotel has the worst reviews?	domain	comparative	subjective	overall	indefinite	[]
248	What is there to do in the main square?	domain	non-comparative	subjective	aspect	indefinite	[]
249	Does Hotel Penelope have free internet?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
250	Which hotel offers the largest room	domain	comparative	subjective	aspect	indefinite	[]
251	Which hotel is closest to the airport?	domain	comparative	subjective	aspect	indefinite	[]
252	does the hotel have a heated pool	domain	non-comparative	factoid	aspect	indefinite	[]
253	Which hotel was built most recently?	domain	comparative	factoid	aspect	indefinite	[]
254	does hotel emily have a heated pool	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
255	what time must you check out from hotel penelope	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
256	is there room service at hotel Hannah	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
257	Why is Hannah top of my list when there are cheaper option lower down?	domain	non-comparative	why-recommended	overall	single	['Hotel Hannah']
258	is hotel henry close to any good restaurants	domain	non-comparative	subjective	aspect	single	['Hotel Henry']
259	Hotel Amelia is cheap but does not meet my other requirements	domain	non-comparative	why-recommended	overall	single	['Hotel Amelia']
260	What facilities does Hotel Emily have?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
261	What facilities does Hotel Henry have?	domain	non-comparative	factoid	aspect	single	['Hotel Henry']
262	Hi....I want to make enquiry on some of these hotels	domain	comparative	factoid	overall	indefinite	[]
263	is there public transport nearby?	domain	non-comparative	factoid	aspect	indefinite	[]
264	Is breakfast served in hotel hannah?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
265	is there a pool in hotel emily?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
266	What facilities are offered?	domain	non-comparative	factoid	aspect	indefinite	[]
267	Is there a private terrace in any of the hotels?	domain	non-comparative	factoid	aspect	indefinite	[]
268	does hotel henry have a TV	domain	non-comparative	factoid	aspect	single	['Hotel Henry']
269	Which hotel has the best location?	domain	comparative	subjective	aspect	indefinite	[]
270	Which hotel has the best price?	domain	comparative	subjective	aspect	indefinite	[]
271	Which hotel has the most reviews?	domain	comparative	subjective	overall	indefinite	[]
272	How did you choose the locations of the hotels?	domain	non-comparative	subjective	aspect	indefinite	[]
273	Which hotel is the most expensive?	domain	comparative	factoid	aspect	indefinite	[]
274	How did you choose the location for Hotel Emily?	domain	non-comparative	why-recommended	aspect	single	['Hotel Emily']
275	Why did you recommend Hotel Emily?	domain	non-comparative	why-recommended	overall	single	['Hotel Emily']
276	Why did you recommend Hotel Penelope?	domain	non-comparative	why-recommended	overall	single	['Hotel Penelope']
277	Which hotel do you think is best for me?	domain	comparative	why-recommended	overall	indefinite	[]
278	WHy did you recommend Hotel Hannah?	domain	non-comparative	why-recommended	overall	single	['Hotel Hannah']
279	Why did you recommend Hotel Hannah?	domain	non-comparative	why-recommended	overall	single	['Hotel Hannah']
280	Why did you recommend Hotel Henry?	domain	non-comparative	why-recommended	overall	single	['Hotel Henry']
281	Why did you recommend Hotel Levi?	domain	non-comparative	why-recommended	overall	single	['Hotel Levi']
282	Why did you recommend Hotel Hannah?	domain	non-comparative	why-recommended	overall	single	['Hotel Hannah']
283	Which hotel do you think is best for me?	domain	comparative	why-recommended	overall	indefinite	[]
284	What type of breakfast is served at Hotel Emily?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
285	Is there still construction going on in Hotel Emily?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
286	Have the bathrooms been fixed in Hotel Penelope?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
287	Are the staff in Hotel Penelope nice?	domain	non-comparative	subjective	aspect	single	['Hotel Penelope']
288	what is the location of hotel Emily like	domain	non-comparative	subjective	aspect	single	['Hotel Emily']
289	What is the cheapest price for a room in Hotel Emily?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
290	is hotel aria good value for money	domain	non-comparative	subjective	aspect	single	['Hotel Aria']
291	Why are the recommendations not ordered by price?	domain	non-comparative	why-recommended	aspect	indefinite	[]
292	Why are the recommendations not ordered by price?	domain	non-comparative	why-recommended	aspect	indefinite	[]
293	How many beds per room?	domain	non-comparative	factoid	aspect	indefinite	[]
294	Is Hotel Henry for business people?	domain	non-comparative	subjective	aspect	single	['Hotel Henry']
295	Is Hotel Henry for business people?	domain	non-comparative	subjective	aspect	single	['Hotel Henry']
296	How many beds per room in hotel Hannah?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
297	Where are the nearest restaurants to hotel hannah	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
298	Why are the recommendations not ordered by price?	domain	non-comparative	why-recommended	aspect	indefinite	[]
299	What tourist attractions are near hotel Hannah?	domain	non-comparative	factoid	aspect	single	['Hotel Hannah']
300	Which hotels have bathtubs in?	domain	non-comparative	factoid	aspect	indefinite	[]
301	What can I do for fun near hotel Hannah?	domain	non-comparative	subjective	aspect	single	['Hotel Hannah']
302	Which hotels have a mini fridge?	domain	non-comparative	factoid	aspect	indefinite	[]
303	What tourist attractions are near hotel amelia?	domain	non-comparative	factoid	aspect	single	['Hotel Amelia']
304	Does the Hotel Henry have workout facilities?	domain	non-comparative	factoid	aspect	single	['Hotel Henry']
305	why is the hotel Emily so expensive?	domain	non-comparative	subjective	aspect	single	['Hotel Emily']
306	Does the Hotel Henry have workout facilities?	domain	non-comparative	factoid	aspect	single	['Hotel Henry']
307	What is there to do near the hotel Emily?	domain	non-comparative	factoid	aspect	single	['Hotel Emily']
308	Why is the Hotel Penelope in a very good location?	domain	non-comparative	why-recommended	aspect	single	['Hotel Penelope']
309	Why is the Hotel Emily a good price?	domain	non-comparative	why-recommended	aspect	single	['Hotel Emily']
310	Where is the Hotel Penelope?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
311	How good is the food in the Hotel Levi?	domain	non-comparative	subjective	aspect	single	['Hotel Levi']
312	Do any of the recommended hotels have laundry services?	domain	non-comparative	factoid	aspect	indefinite	[]
313	What country is the hotel penelope in?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
314	Does Hotel Penelope have laundry services?	domain	non-comparative	factoid	aspect	single	['Hotel Penelope']
315	How does the Hotel Hannah have great rooms?	domain	non-comparative	why-recommended	aspect	single	['Hotel Hannah']
316	Which hotel has the best facilities?	domain	comparative	subjective	aspect	indefinite	[]
317	Which hotel has the best facilities?	domain	comparative	subjective	aspect	indefinite	[]
318	Which hotel is closest to the airport?	domain	comparative	factoid	aspect	indefinite	[]
319	What location is the Hotel Aria in?	domain	non-comparative	factoid	aspect	single	['Hotel Aria']
320	Why is Hotel Emily described as a very good price?	domain	non-comparative	why-recommended	aspect	single	['Hotel Emily']
321	How many stars is the Hotel Hannah?	domain	non-comparative	factoid	overall	single	['Hotel Hannah']
322	Which hotel has a shuttle or car service?	domain	non-comparative	factoid	aspect	indefinite	[]
